Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
19.6,6,227.1,42.77527577,0,0.1,0,0.4,0.7,0,0,7,1,0,0,0.1,0.7,0,0,0,0,0,0.8,0.2,0,0,0,0,1,1,1916,60,411,191.6,133.9744586,191.6,0.023378181,10,17949.15556,CommandInjection
22,6,112.7,15.83947474,0,0,0.1,0.4,0.7,0,0,7,0,0,1,0,0.4,0,0,0,0,0,0.7,0.1,0,0.1,0.1,0,0.9,0.9,1130,60,230,113,59.89620652,113,0.06328311,10,3587.555556,CommandInjection
12.8,6,112.5,24.36581156,0.1,0,0,0.2,0.4,0,0,4,0,1,0,0,0.2,0.2,0,0,0,0,0.4,0.3,0,0.3,0,0,0.7,0.7,883,60,214,88.3,46.27706415,88.3,0.061666107,10,2141.566667,CommandInjection
9.2,17,94.2,35.24317203,0,0,0,0,0.1,0,0,1,0,0,0,0,0.1,0.2,0,0,0,0,0.1,0.9,0,0,0,0,1,1,811,60,230,81.1,52.78141508,81.1,0.029038286,10,2785.877778,CommandInjection
19.6,6,93.3,24.42473836,0,0.1,0,0.1,0.4,0,0,4,1,0,0,0.1,0.4,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,1034,60,218,103.4,66.10463087,103.4,0.041133595,10,4369.822222,CommandInjection
10.4,17,114.5,11.3256076,0,0,0,0.1,0.3,0,0,3,0,0,0,0,0.2,0.2,0,0,0,0,0.3,0.4,0,0.1,0.2,0,0.9,0.9,1555,60,230,155.5,76.6365883,155.5,0.088787699,10,5873.166667,CommandInjection
16.8,6,154.7,21.02301588,0.1,0,0,0.1,0.5,0,0,5,0,1,0,0,0.3,0,0,0,0,0,0.5,0.4,0,0.1,0,0,0.9,0.9,1027,60,230,102.7,64.04520973,102.7,0.049209619,10,4101.788889,CommandInjection
15.2,17,81.3,17.57960545,0,0,0,0.1,0.4,0,0,4,0,0,0,0,0.4,0,0,0,0,0,0.4,0.6,0,0,0,0,1,1,932,60,230,93.2,56.69567885,93.2,0.056884289,10,3214.4,CommandInjection
21.6,6,149.2,29.50836326,0,0,0,0.3,0.6,0,0,6,0,0,0,0,0.5,0,0,0,0,0,0.6,0.3,0,0.1,0,0,0.9,0.9,1332,60,230,133.2,72.19387478,133.2,0.078162909,10,5211.955556,CommandInjection
12.8,17,120.1,18.55362955,0,0,0,0.1,0.2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,1,1,1644,60,230,164.4,62.60848363,164.4,0.055164003,10,3919.822222,CommandInjection
16.8,17,98.5,32.95696183,0,0,0,0.3,0.4,0,0,4,0,0,0,0,0.1,0,0,0,0,0,0.4,0.5,0,0,0.1,0,1,1,1019,60,230,101.9,64.46954492,101.9,0.03595469,10,4156.322222,CommandInjection
19.2,6,95.5,45.07164303,0,0,0,0.3,0.5,0,0,5,0,0,0,0,0.2,0.3,0,0,0,0,0.5,0.4,0,0,0.1,0,1,1,1503,66,224,150.3,63.28076766,150.3,0.025219798,10,4004.455556,CommandInjection
11.2,0,61.6,19.92214114,0,0.1,0,0,0.2,0,0,2,1,0,0,0.1,0.2,0,0,0,0,0,0.3,0.1,0,0.6,0,0,0.4,0.4,796,60,230,79.6,53.04756775,79.6,0.052194405,10,2814.044444,CommandInjection
14,17,100.9,22.47523697,0,0,0,0,0.3,0,0,3,0,0,0,0.1,0.2,0,0,0,0,0,0.3,0.7,0,0,0,0,1,1,856,60,214,85.6,47.06307824,85.6,0.046920109,10,2214.933333,CommandInjection
21.2,6,76.8,289.7779497,0.1,0,0.1,0.6,0.9,0,0,9,0,1,1,0.8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1593,60,492,159.3,177.2255625,159.3,0.0041008,10,31408.9,CommandInjection
18,6,95.8,40.90850482,0.1,0,0.1,0.4,0.6,0,0,6,0,1,1,0.4,0,0,0,0,0,0,0.7,0.2,0,0.1,0,0,0.9,0.9,6641,60,2974,664.1,957.8652712,664.1,0.024444985,10,917505.8778,CommandInjection
6.4,17,153.2,17.47768673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.2,0,1,1,2332,60,358,233.2,117.9150353,233.2,0.064548206,10,13903.95556,CommandInjection
19.2,6,111.6,48.08592012,0,0,0,0.4,0.5,0,0,5,0,0,0,0,0.3,0,0,0,0,0,0.5,0.4,0,0.1,0,0,0.9,0.9,1432,60,352,143.2,113.3527434,143.2,0.024832296,10,12848.84444,CommandInjection
19.2,6,136.6,15.51316026,0,0,0,0.2,0.6,0,0,6,0,0,0,0.2,0.3,0.2,0,0,0,0,0.6,0.3,0,0,0.1,0,1,1,1635,60,545,163.5,148.4177662,163.5,0.066012907,10,22027.83333,CommandInjection
16.8,6,69.5,20.31113395,0,0,0,0.2,0.5,0,0,5,0,0,0,0,0.5,0,0,0,0,0,0.5,0.1,0,0.2,0.2,0,0.8,0.8,1229,60,230,122.9,76.55129,122.9,0.049526286,10,5860.1,CommandInjection
20,6,99,31.29507761,0,0,0,0.2,0.6,0,0,6,0,0,0,0,0.2,0,0,0,0,0,0.6,0.1,0,0.2,0.1,0,0.8,0.8,882,60,214,88.2,46.58278175,88.2,0.036557317,10,2169.955556,CommandInjection
13.6,17,153.1,35.74673645,0,0,0,0.2,0.3,0,0,3,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0,0.1,0.1,0,0.9,0.9,1710,60,230,171,70.31516353,171,0.031413484,10,4944.222222,CommandInjection
28.8,6,125.2,33.78299423,0,0,0,0.5,0.9,0,0,9,0,0,0,0,0.9,0,0,0,0,0,0.9,0,0,0.1,0,0,0.9,0.9,902,60,156,90.2,31.08697476,90.2,0.034455299,10,966.4,CommandInjection
15.2,6,59.1,36.45629473,0,0,0,0.3,0.6,0,0,6,0,0,0,0,0.2,0,0,0,0,0,0.6,0.1,0,0.3,0,0,0.7,0.7,881,60,230,88.1,52.00737127,88.1,0.029729009,10,2704.766667,CommandInjection
21.6,6,80.9,31.25517622,0,0,0,0.3,0.7,0,0,7,0,0,0,0,0.2,0,0,0,0,0,0.7,0.2,0,0,0.1,0,1,1,1166,60,218,116.6,59.13487409,116.6,0.033238411,10,3496.933333,CommandInjection
19.2,6,87.4,33.32398994,0.1,0.1,0,0.1,0.5,0,0,5,1,1,0,0.3,0.1,0,0,0,0,0,0.6,0.2,0,0.2,0,0,0.8,0.8,973,60,214,97.3,62.28259967,97.3,0.0312603,10,3879.122222,CommandInjection
17.6,17,95.9,105.3908778,0,0.1,0,0.1,0.4,0,0,4,1,0,0,0.4,0,0.4,0,0,0,0,0.4,0.5,0,0,0.1,0,1,1,1653,66,811,165.3,231.1488457,165.3,0.009488678,10,53429.78889,CommandInjection
6.4,17,126.9,32.21110027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.8,0,0,0.2,0,1,1,1193,77,230,119.3,55.87495961,119.3,0.033942318,10,3122.011111,CommandInjection
7.6,17,94,81.98196684,0,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0.3,0,0,0,0,0.1,0.7,0,0,0.2,0,1,1,1191,60,224,119.1,64.18800511,119.1,0.012754798,10,4120.1,CommandInjection
16.4,6,94.4,73.73433654,0,0,0,0.3,0.5,0,0,5,0,0,0,0,0.2,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,802,60,156,80.2,33.72700863,80.2,0.020300293,10,1137.511111,CommandInjection
4.4,0,55.1,13.10293336,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0.2,0,0,0,0,0.1,0.3,0,0.3,0.3,0,0.7,0.7,975,60,230,97.5,51.71556826,97.5,0.079819393,10,2674.5,CommandInjection
20.4,6,150.5,21.61769451,0,0,0,0.5,0.8,0,0,8,0,0,0,0,0.3,0,0,0,0,0,0.8,0.1,0,0.1,0,0,0.9,0.9,1114,60,214,111.4,49.95598062,111.4,0.051889515,10,2495.6,CommandInjection
17.2,6,130.1,156.5944483,0,0,0,0.3,0.6,0,0,6,0,0,0,0,0.1,0.1,0,0,0,0,0.6,0.2,0,0,0.2,0,1,1,1081,60,230,108.1,49.34110299,108.1,0.007118106,10,2434.544444,CommandInjection
24.8,6,154.6,65.43090161,0,0,0,0.4,0.8,0,0,8,0,0,0,0,0.3,0.2,0,0,0,0,0.8,0.2,0,0,0,0,1,1,909,60,152,90.9,29.67396914,90.9,0.015895796,10,880.5444444,CommandInjection
17.6,6,82,39.2350744,0,0.2,0,0,0.3,0,0,3,2,0,0,0,0.4,0.3,0,0,0,0,0.4,0.4,0,0,0.2,0,1,1,1039,66,217,103.9,49.88531291,103.9,0.025904703,10,2488.544444,CommandInjection
16.4,17,101.9,30.07544848,0,0.1,0,0.2,0.3,0,0,3,1,0,0,0.1,0.2,0.2,0,0,0,0,0.4,0.5,0,0,0.1,0,1,1,1234,66,230,123.4,59.01073349,123.4,0.038366699,10,3482.266667,CommandInjection
13.2,6,99.5,64.09809936,0,0.1,0.1,0.1,0.3,0,0,3,1,0,1,0.2,0,0,0,0,0,0,0.4,0.4,0,0,0.2,0,1,1,1706,60,414,170.6,136.9875907,170.6,0.017171788,10,18765.6,CommandInjection
21.2,6,106.5,77.69042406,0,0,0,0.3,0.7,0,0,7,0,0,0,0.4,0,0.2,0,0,0,0,0.7,0.3,0,0,0,0,1,1,3056,60,1514,305.6,452.8564158,305.6,0.013421512,10,205078.9333,CommandInjection
32,6,154,226.9583615,0,0,0,0.3,1,0,0,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,6689,66,1494,668.9,687.8259551,668.9,0.005034995,10,473104.5444,CommandInjection
32,6,153.9,238.8963946,0,0,0,0.5,1,0,0,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1509,66,566,150.9,155.3250713,150.9,0.008070207,10,24125.87778,CommandInjection
16,6,157.1,58.31212941,0.2,0,0,0,0.4,0,0,4,0,2,0,0,0.4,0.1,0,0,0,0,0.4,0.4,0,0.1,0.1,0,0.9,0.9,1308,60,230,130.8,79.34285657,130.8,0.017149282,10,6295.288889,CommandInjection
18.4,6,100.1,101.8744611,0,0,0,0.5,0.6,0,0,6,0,0,0,0,0.1,0.1,0,0,0,0,0.6,0.2,0,0,0.2,0,1,1,1788,66,263,178.8,59.53299739,178.8,0.009827614,10,3544.177778,CommandInjection
26.8,6,136.6,70.43142418,0,0.1,0,0.4,0.7,0,0,7,1,0,0,0.1,0.6,0,0,0,0,0,0.8,0.2,0,0,0,0,1,1,1699,60,505,169.9,135.8834877,169.9,0.019349003,10,18464.32222,CommandInjection
14.4,6,103.9,46.5562525,0,0,0,0.4,0.5,0,0,5,0,0,0,0,0.1,0,0,0,0,0,0.5,0.4,0,0,0.1,0,1,1,1380,66,336,138,80.18450945,138,0.022264481,10,6429.555556,CommandInjection
16.8,6,115,19.09855351,0,0,0,0.2,0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0,0.1,0,1,1,1767,60,345,176.7,107.9187452,176.7,0.0545362,10,11646.45556,CommandInjection
24.8,6,82.3,43.78992383,0,0,0,0.5,0.7,0,0,7,0,0,0,0,0.4,0,0,0,0,0,0.7,0.3,0,0,0,0,1,1,1284,60,414,128.4,111.8979694,128.4,0.024524212,10,12521.15556,CommandInjection
12,0,99.5,28.58448235,0,0,0,0,0.3,0,0,3,0,0,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0.3,0.1,0,0.7,0.7,1256,60,336,125.6,98.49444429,125.6,0.038545609,10,9701.155556,CommandInjection
12,17,114.6,28.95538956,0,0,0,0.1,0.2,0,0,2,0,0,0,0,0.2,0,0,0,0,0,0.2,0.7,0,0,0.1,0,1,1,2175,66,414,217.5,125.195181,217.5,0.034628582,10,15673.83333,CommandInjection
15.6,6,95.5,21.47494643,0,0.1,0,0.2,0.3,0,0,3,1,0,0,0.1,0.2,0,0,0,0,0,0.4,0.4,0,0,0.2,0,1,1,1342,60,230,134.2,66.02491112,134.2,0.048959303,10,4359.288889,CommandInjection
17.6,6,98.2,36.82725546,0,0,0,0.3,0.5,0,0,5,0,0,0,0,0.3,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,2407,60,521,240.7,168.0833457,240.7,0.029808497,10,28252.01111,CommandInjection
12.8,17,113,139.9365427,0,0.2,0,0,0.1,0,0,1,2,0,0,0.2,0,0.5,0,0,0,0,0.2,0.6,0,0,0.2,0,1,1,1365,60,226,136.5,66.33793954,136.5,0.017646813,10,4400.722222,CommandInjection
27.2,6,151.3,125.6614876,0.2,0,0,0.2,0.8,0,0,8,0,2,0,0.8,0,0,0,0,0,0,0.8,0.2,0,0,0,0,1,1,1598,66,359,159.8,126.5778636,159.8,0.009584594,10,16021.95556,CommandInjection
19.2,6,135.8,25.33248133,0,0,0,0.4,0.6,0,0,6,0,0,0,0,0.2,0,0,0,0,0,0.6,0.3,0,0,0.1,0,1,1,1547,66,345,154.7,110.8332581,154.7,0.04452281,10,12284.01111,CommandInjection
16.4,17,145.8,16.05791149,0.1,0,0,0.1,0.4,0,0,4,0,1,0,0,0.1,0,0,0,0,0,0.4,0.6,0,0,0,0,1,1,1813,60,345,181.3,123.7883947,181.3,0.065867901,10,15323.56667,CommandInjection
32,6,148.1,88.78618982,0,0,0,0.4,1,0,0,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,852,66,131,85.2,26.74488528,85.2,0.014187598,10,715.2888889,CommandInjection
17.6,6,50.8,31.0006482,0.1,0,0,0.1,0.5,0,0,5,0,1,0,0.2,0.3,0,0,0,0,0,0.5,0.2,0,0.2,0.1,0,0.8,0.8,818,60,156,81.8,29.5364182,81.8,0.037742686,10,872.4,CommandInjection
9.6,17,109.1,42.96086891,0,0,0,0,0.1,0,0,1,0,0,0,0,0.1,0,0,0,0,0,0.1,0.8,0,0.1,0,0,0.9,0.9,1651,60,345,165.1,110.558632,165.1,0.023334312,10,12223.21111,CommandInjection
22.4,6,130.1,40.98845976,0,0,0,0.4,0.6,0,0,6,0,0,0,0,0.3,0,0,0,0,0,0.6,0.4,0,0,0,0,1,1,1725,66,339,172.5,85.91630294,172.5,0.028412604,10,7381.611111,CommandInjection
11.2,17,90.8,104.8853946,0,0,0,0.2,0.2,0,0,2,0,0,0,0,0.2,0,0,0,0,0,0.2,0.6,0,0.1,0.1,0,0.9,0.9,1140,60,214,114,50.9356893,114,0.035612893,10,2594.444444,CommandInjection
8,17,87.8,27.14491057,0,0,0,0,0.1,0,0,1,0,0,0,0,0.1,0.2,0,0,0,0,0.1,0.6,0,0.1,0.2,0,0.9,0.9,1937,60,345,193.7,104.543505,193.7,0.038079405,10,10929.34444,CommandInjection
18.4,6,89,18.78188132,0,0,0,0.3,0.5,0,0,5,0,0,0,0,0.2,0,0,0,0,0,0.5,0.3,0,0.2,0,0,0.8,0.8,1527,60,339,152.7,91.61519767,152.7,0.056299496,10,8393.344444,CommandInjection
9.6,17,140.5,17.02232385,0,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0.1,0.8,0,0,0.1,0,1,1,1322,75,230,132.2,62.38553964,132.2,0.063984585,10,3891.955556,CommandInjection
12.8,17,78.9,92.49495549,0,0,0,0.1,0.2,0,0,2,0,0,0,0,0,0.1,0,0,0,0,0.2,0.8,0,0,0,0,1,1,700,60,135,70,23.46155247,70,0.011925912,10,550.4444444,CommandInjection
15.2,6,62.5,27.28996578,0,0,0,0.1,0.4,0,0,4,0,0,0,0,0.4,0,0,0,0,0,0.4,0.3,0,0.2,0.1,0,0.8,0.8,926,60,230,92.6,56.81197057,92.6,0.045626807,10,3227.6,CommandInjection
12,17,114.5,19.70288104,0,0,0,0.1,0.2,0,0,2,0,0,0,0,0.2,0,0,0,0,0,0.2,0.7,0,0.1,0,0,0.9,0.9,1428,60,230,142.8,70.46638284,142.8,0.08179729,10,4965.511111,CommandInjection
9.6,17,78.8,26.81288025,0,0,0,0,0.2,0,0,2,0,0,0,0,0.2,0.3,0,0,0,0,0.2,0.4,0,0.2,0.2,0,0.8,0.8,1138,60,224,113.8,65.9659845,113.8,0.041066599,10,4351.511111,CommandInjection
5.6,17,65.5,32.95274131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.2,0.1,0,0.8,0.8,1078,60,230,107.8,59.43773586,107.8,0.038188791,10,3532.844444,CommandInjection
12.8,17,113.5,14.48200877,0,0,0,0.2,0.3,0,0,3,0,0,0,0,0.2,0,0,0,0,0,0.3,0.4,0,0.2,0.1,0,0.8,0.8,1396,60,230,139.6,73.32606025,139.6,0.071636415,10,5376.711111,CommandInjection
9.6,17,81.5,27.98047513,0,0,0,0.1,0.2,0,0,2,0,0,0,0,0,0.3,0,0,0,0,0.2,0.4,0,0.2,0.2,0,0.8,0.8,1026,60,230,102.6,56.19845787,102.6,0.036262798,10,3158.266667,CommandInjection
20,6,120.5,12.39848699,0,0,0,0.3,0.5,0,0,5,0,0,0,0,0.2,0.1,0,0,0,0,0.5,0.5,0,0,0,0,1,1,1618,66,230,161.8,62.91758277,161.8,0.082167602,10,3958.622222,CommandInjection
32.8,6,63.2,59.90245491,0.1,0.1,0,0.4,0.9,0,0,9,1,1,0,0.5,0.2,0,0,0,0,0,1,0,0,0,0,0,1,1,1531,66,817,153.1,234.8860007,153.1,0.025894094,10,55171.43333,CommandInjection
16.8,6,81.9,163.1777279,0,0.1,0,0.2,0.4,0,0,4,1,0,0,0.2,0.2,0.4,0,0,0,0,0.4,0.4,0,0,0.2,0,1,1,814,66,98,81.4,12.6420814,81.4,0.006128597,10,159.8222222,CommandInjection
14.4,17,131.9,25.89693594,0,0,0,0,0.3,0,0,3,0,0,0,0,0.3,0.4,0,0,0,0,0.3,0.6,0,0.1,0,0,0.9,0.9,1305,60,230,130.5,70.64347104,130.5,0.039700508,10,4990.5,CommandInjection
8,1,75.4,16.54054723,0,0,0,0.1,0.2,0,0,2,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0.2,0.4,0,0.8,0.8,1430,60,230,143,74.2802501,143,0.060461187,10,5517.555556,CommandInjection
9.6,17,108.1,21.36843875,0.1,0,0,0,0.1,0,0,1,0,1,0,0,0.1,0.2,0,0,0,0,0.1,0.8,0,0,0.1,0,1,1,931,60,214,93.1,48.41590648,93.1,0.047298312,10,2344.1,CommandInjection
10.4,17,71.1,22.94087983,0,0,0,0.1,0.1,0,0,1,0,0,0,0,0.1,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,916,60,214,91.6,52.44934064,91.6,0.043598509,10,2750.933333,CommandInjection
12,6,81.4,29.77299911,0,0,0,0.2,0.3,0,0,3,0,0,0,0,0.1,0.2,0,0,0,0,0.3,0.3,0,0.2,0.2,0,0.8,0.8,977,60,230,97.7,50.65142315,97.7,0.036680579,10,2565.566667,CommandInjection
15.2,17,76.9,91.19102853,0,0,0,0.2,0.3,0,0,3,0,0,0,0,0.2,0,0,0,0,0,0.3,0.7,0,0,0,0,1,1,963,60,230,96.3,52.86050826,96.3,0.031757903,10,2794.233333,CommandInjection
18.8,6,97.5,38.48313663,0,0,0,0.1,0.5,0,0,5,0,0,0,0,0.3,0,0,0,0,0,0.5,0.2,0,0.3,0,0,0.7,0.7,965,60,218,96.5,63.31447088,96.5,0.028924918,10,4008.722222,CommandInjection
20.8,6,75.5,54.23671303,0,0,0,0.3,0.6,0,0,6,0,0,0,0.1,0.3,0.2,0,0,0,0,0.6,0.2,0,0,0.2,0,1,1,2846,66,2008,284.6,606.2319321,284.6,0.018501186,10,367517.1556,CommandInjection
32.4,6,74.1,46.10336121,0,0,0,0.1,0.9,0,0,9,0,0,0,0.4,0.2,0,0,0,0,0,0.9,0,0,0.1,0,0,0.9,0.9,1184,60,560,118.4,155.2941295,118.4,0.021690702,10,24116.26667,CommandInjection
14.4,17,140,46.56534941,0,0,0,0.1,0.3,0,0,3,0,0,0,0,0,0.3,0,0,0,0,0.3,0.6,0,0,0.1,0,1,1,1726,66,230,172.6,66.6936612,172.6,0.021788406,10,4448.044444,CommandInjection
18.4,6,84.9,20.15377068,0,0,0,0.2,0.5,0,0,5,0,0,0,0,0.4,0,0,0,0,0,0.5,0.3,0,0.2,0,0,0.8,0.8,1068,60,230,106.8,60.12912033,106.8,0.050911498,10,3615.511111,CommandInjection
14.4,17,90.8,53.35293961,0,0,0,0.2,0.3,0,0,3,0,0,0,0,0.3,0,0,0,0,0,0.3,0.6,0,0.1,0,0,0.9,0.9,1124,60,230,112.4,56.59642706,112.4,0.018840504,10,3203.155556,CommandInjection
20,6,117.4,26.95540406,0,0,0,0.2,0.5,0,0,5,0,0,0,0,0.2,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,1218,60,214,121.8,65.02956593,121.8,0.039284801,10,4228.844444,CommandInjection
12.4,6,50.2,51.4593698,0.1,0,0,0.2,0.4,0,0,4,0,1,0,0.1,0,0,0,0,0,0,0.4,0.4,0,0.1,0.1,0,0.9,0.9,720,60,93,72,14.89966443,72,0.019439292,10,222,CommandInjection
22.4,6,134.4,24.62787246,0.2,0,0,0.2,0.8,0,0,8,0,2,0,0.2,0.4,0,0,0,0,0,0.8,0.2,0,0,0,0,1,1,1071,60,230,107.1,67.36707076,107.1,0.047194099,10,4538.322222,CommandInjection
9.2,17,44.9,21.69328824,0.1,0,0,0,0.2,0,0,2,0,1,0,0.1,0.1,0,0,0,0,0,0.2,0.5,0,0.2,0.1,0,0.8,0.8,812,60,218,81.2,49.13654445,81.2,0.048136902,10,2414.4,CommandInjection
12.8,17,81.1,49.0419621,0,0,0,0.1,0.4,0,0,4,0,0,0,0,0.1,0.4,0,0,0,0,0.4,0.6,0,0,0,0,1,1,735,60,94,73.5,15.36409957,73.5,0.021348691,10,236.0555556,CommandInjection
5.6,17,56.6,23.16949405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.7,0,0.2,0.1,0,0.8,0.8,1212,60,230,121.2,78.4188186,121.2,0.04316051,10,6149.511111,CommandInjection
10.4,17,170.2,18.58573433,0.1,0,0,0.2,0.3,0,0,3,0,1,0,0.1,0,0,0,0,0,0,0.3,0.4,0,0.1,0.2,0,0.9,0.9,1470,60,230,147,76.64057527,147,0.055440307,10,5873.777778,CommandInjection
24,6,111.1,16.37881124,0,0,0.2,0.2,0.7,0,0,7,0,0,2,0,0.8,0,0,0,0,0,0.8,0.1,0,0.1,0,0,0.9,0.9,927,60,230,92.7,56.70204778,92.7,0.074461484,10,3215.122222,CommandInjection
